Defect_ID,Title,Created_Date,Created_By,Priority,Severity,Status,Triage_Category,Triage_Assignment,Director,Assignee,Component,Target_Release,Found_In_Release,Last_Updated_Date,Resolution
ROCm-1001,Compiler (rocm-llvm: rocgdb breakpoints not hitting in device code,2026-02-09,Fatima Al-Zahra,High,S3 - Major,Open,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,,Compiler,ROCm 7.0,ROCm 6.1,2026-02-12,
ROCm-1002,HIP Runtime: RCCL AllReduce giving wrong result with 8 GPUs,2025-09-06,Carlos Rivera,High,S2 - Critical,In Review,HIP Runtime,Runtime Team,SAM,Aisha Patel,HIP Runtime,ROCm 7.0,ROCm 6.1,2026-01-27,
ROCm-1003,Compiler (rocm-llvm: Memory leak in miopen_conv under stress workload,2025-12-22,Priya Sharma,Medium,S3 - Major,Resolved,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,Rania Hassan,Compiler,ROCm 6.2,ROCm 6.2,2026-02-14,Duplicate
ROCm-1004,Driver: Documentation missing for hipLaunchKernelGGL edge cases,2025-09-23,Priya Sharma,Medium,S4 - Minor,Resolved,Driver / KFD,Driver Team,SAM,Yuki Tanaka,Driver,Backlog,ROCm 6.2,2025-10-04,Cannot Reproduce
ROCm-1005,ROCm Debugger (ROCgdb): rocgdb breakpoints not hitting in device code,2026-02-06,Priya Sharma,Medium,S4 - Minor,In Review,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Alex Chen,ROCm Debugger,ROCm 6.3,ROCm 6.1,2026-02-08,
ROCm-1006,MIOpen: rocgdb breakpoints not hitting in device code,2025-12-05,Leila Nouri,High,S3 - Major,Open,MIOpen,Math Libraries Team,Kumar,,MIOpen,ROCm 6.2,ROCm 6.3,2025-12-31,
ROCm-1007,RCCL (Comms): HIP event timing reports negative duration,2026-02-08,Carlos Rivera,High,S2 - Critical,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,ROCm 6.3,ROCm 6.3,2026-02-16,
ROCm-1008,HIP Runtime: Hang detected in multi-GPU rccl_allreduce launch,2025-11-21,Aisha Patel,Low,S4 - Minor,Open,HIP Runtime,Runtime Team,SAM,,HIP Runtime,Backlog,ROCm 6.3,2025-12-31,
ROCm-1009,Performance: Incorrect result from rocblas_gemm for large tensors,2025-11-18,Yuki Tanaka,High,S3 - Major,In Progress,Performance / Profiling,Tools & Infra Team,Philips,Marcus Johnson,Performance,Backlog,ROCm 6.3,2026-01-15,
ROCm-1010,RCCL (Comms): Documentation missing for rocblas_trsm edge cases,2025-11-05,Suman Dey,Medium,S4 - Minor,Closed,RCCL (Comms),Runtime Team,SAM,Aisha Patel,RCCL,ROCm 6.2,ROCm 6.1,2025-12-21,Won't Fix
ROCm-1011,RCCL (Comms): Installer fails silently on RHEL 9.x,2025-10-08,Carlos Rivera,Medium,S4 - Minor,In Review,RCCL (Comms),Runtime Team,SAM,Fatima Al-Zahra,RCCL,ROCm 6.2,ROCm 6.3,2026-01-13,
ROCm-1012,MIOpen: Memory leak in rocblas_trsm under stress workload,2025-09-28,Yuki Tanaka,Medium,S4 - Minor,Resolved,MIOpen,Math Libraries Team,Kumar,David Kim,MIOpen,ROCm 6.4,ROCm 6.3,2025-10-26,Cannot Reproduce
ROCm-1013,ROCm Installer: Memory leak in hipFFT_plan under stress workload,2025-10-14,Carlos Rivera,Medium,S3 - Major,Closed,ROCm Installer / Packaging,Release Engineering,Suma,Fatima Al-Zahra,ROCm Installer,Backlog,ROCm 6.1,2026-02-20,Won't Fix
ROCm-1014,MIOpen: Kernel launch overhead increased by 2x in ROCm 6.1,2026-01-30,Alex Chen,Medium,S3 - Major,Open,MIOpen,Math Libraries Team,Kumar,,MIOpen,ROCm 6.3,ROCm 6.3,2026-02-27,
ROCm-1015,Driver: Memory leak in hipStreamCreate under stress workload,2025-09-19,Carlos Rivera,High,S3 - Major,Resolved,Driver / KFD,Driver Team,SAM,Suman Dey,Driver,ROCm 6.3,ROCm 6.2,2026-02-02,Won't Fix
ROCm-1016,rocFFT: RCCL AllReduce giving wrong result with 8 GPUs,2026-01-12,Jake Thompson,Low,S4 - Minor,Won't Fix,rocFFT,Math Libraries Team,Kumar,Yuki Tanaka,rocFFT,ROCm 6.4,ROCm 6.2,2026-02-27,Won't Fix
ROCm-1017,MIOpen: ROCm-SMI reports wrong temperature for MI250,2026-01-09,Fatima Al-Zahra,Medium,S3 - Major,Open,MIOpen,Math Libraries Team,Kumar,,MIOpen,ROCm 6.3,ROCm 6.1,2026-01-10,
ROCm-1018,HIP Runtime: Performance regression after upgrading to ROCm 6.1,2025-09-17,David Kim,Medium,S3 - Major,Open,HIP Runtime,Runtime Team,SAM,,HIP Runtime,ROCm 7.0,ROCm 6.1,2025-12-10,
ROCm-1019,rocSPARSE: Build failure on Ubuntu 22.04 with ROCm 6.1,2026-01-15,Jake Thompson,High,S3 - Major,Open,rocSPARSE,Math Libraries Team,Kumar,,rocSPARSE,ROCm 7.0,ROCm 6.2,2026-02-10,
ROCm-1020,Performance: RCCL AllReduce giving wrong result with 8 GPUs,2025-12-16,Aisha Patel,Medium,S3 - Major,Resolved,Performance / Profiling,Tools & Infra Team,Philips,Alex Chen,Performance,ROCm 6.3,ROCm 6.1,2025-12-28,Cannot Reproduce
ROCm-1021,rocSPARSE: Kernel launch overhead increased by 2x in ROCm 6.2,2026-01-14,Suman Dey,Medium,S4 - Minor,Open,rocSPARSE,Math Libraries Team,Kumar,,rocSPARSE,Backlog,ROCm 6.1,2026-01-29,
ROCm-1022,Driver: Installer fails silently on RHEL 9.x,2025-09-11,Ivan Petrov,Medium,S3 - Major,Won't Fix,Driver / KFD,Driver Team,SAM,Marcus Johnson,Driver,ROCm 7.0,ROCm 6.1,2025-11-10,Cannot Reproduce
ROCm-1023,Driver: Incorrect result from hipGraphCreate for large tensors,2025-10-11,Yuki Tanaka,Medium,S4 - Minor,Open,Driver / KFD,Driver Team,SAM,,Driver,Backlog,ROCm 6.3,2026-02-04,
ROCm-1024,HIP Runtime: RCCL AllReduce giving wrong result with 8 GPUs,2026-01-01,Yuki Tanaka,High,S3 - Major,Open,HIP Runtime,Runtime Team,SAM,,HIP Runtime,ROCm 6.4,ROCm 6.1,2026-02-07,
ROCm-1025,rocFFT: Kernel launch overhead increased by 2x in ROCm 6.1,2025-09-11,Fatima Al-Zahra,Medium,S3 - Major,Open,rocFFT,Math Libraries Team,Kumar,,rocFFT,ROCm 6.2,ROCm 6.3,2025-10-01,
ROCm-1026,HIP Runtime: Hang detected in multi-GPU hipStreamCreate launch,2025-10-29,Fatima Al-Zahra,Medium,S3 - Major,In Review,HIP Runtime,Runtime Team,SAM,Priya Sharma,HIP Runtime,Backlog,ROCm 6.2,2026-01-16,
ROCm-1027,RCCL (Comms): rocgdb breakpoints not hitting in device code,2025-11-04,Mei Liu,High,S3 - Major,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,ROCm 6.4,ROCm 6.1,2025-11-20,
ROCm-1028,ROCm-SMI: Incorrect result from rocblas_gemm for large tensors,2025-09-01,Leila Nouri,Medium,S3 - Major,Open,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,,ROCm-SMI,ROCm 6.2,ROCm 6.1,2026-01-08,
ROCm-1029,ROCm Debugger (ROCgdb): Crash observed on MI300X when calling hipStreamCreate,2025-12-02,David Kim,High,S3 - Major,Closed,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Fatima Al-Zahra,ROCm Debugger,ROCm 6.2,ROCm 6.1,2026-01-09,By Design
ROCm-1030,Compiler (rocm-llvm: Build failure on Ubuntu 22.04 with ROCm 6.1,2025-11-05,Jake Thompson,High,S2 - Critical,Resolved,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,David Kim,Compiler,ROCm 6.4,ROCm 6.3,2025-12-09,By Design
ROCm-1031,RCCL (Comms): Incorrect result from hipMalloc for large tensors,2026-01-02,Rania Hassan,High,S2 - Critical,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,ROCm 6.3,ROCm 6.3,2026-02-24,
